Page URL,Hreflang,Issue Type,Discovered
https://sweet-home.co.il/,,No self-referencing hreflang,02 Jan 2026 (14:22 UTC)
https://sweet-home.co.il/auth/forgot,,No self-referencing hreflang,07 Jan 2026 (02:29 UTC)
https://sweet-home.co.il/auth/login,,No self-referencing hreflang,07 Jan 2026 (02:50 UTC)
https://sweet-home.co.il/owners,,No self-referencing hreflang,02 Jan 2026 (14:22 UTC)
https://sweet-home.co.il/privacy,,No self-referencing hreflang,06 Jan 2026 (12:38 UTC)
https://sweet-home.co.il/projects/regions,,No self-referencing hreflang,07 Jan 2026 (01:39 UTC)
https://sweet-home.co.il/terms,,No self-referencing hreflang,07 Jan 2026 (01:39 UTC)
https://sweet-home.co.il/,de-de,Conflicting hreflang and rel=canonical,05 Jan 2026 (19:13 UTC)
https://sweet-home.co.il/auth/forgot,de-de,Conflicting hreflang and rel=canonical,07 Jan 2026 (02:29 UTC)
https://sweet-home.co.il/auth/login,de-de,Conflicting hreflang and rel=canonical,07 Jan 2026 (02:50 UTC)
https://sweet-home.co.il/owners,de-de,Conflicting hreflang and rel=canonical,05 Jan 2026 (20:29 UTC)
https://sweet-home.co.il/privacy,de-de,Conflicting hreflang and rel=canonical,06 Jan 2026 (12:38 UTC)
https://sweet-home.co.il/projects/regions,de-de,Conflicting hreflang and rel=canonical,07 Jan 2026 (01:39 UTC)
https://sweet-home.co.il/terms,de-de,Conflicting hreflang and rel=canonical,07 Jan 2026 (01:39 UTC)
https://sweet-home.co.il/,en-us,Conflicting hreflang and rel=canonical,05 Jan 2026 (19:13 UTC)
https://sweet-home.co.il/auth/forgot,en-us,Conflicting hreflang and rel=canonical,07 Jan 2026 (02:29 UTC)
https://sweet-home.co.il/auth/login,en-us,Conflicting hreflang and rel=canonical,07 Jan 2026 (02:50 UTC)
https://sweet-home.co.il/owners,en-us,Conflicting hreflang and rel=canonical,05 Jan 2026 (20:29 UTC)
https://sweet-home.co.il/privacy,en-us,Conflicting hreflang and rel=canonical,06 Jan 2026 (12:38 UTC)
https://sweet-home.co.il/projects/regions,en-us,Conflicting hreflang and rel=canonical,07 Jan 2026 (01:39 UTC)
https://sweet-home.co.il/terms,en-us,Conflicting hreflang and rel=canonical,07 Jan 2026 (01:39 UTC)
https://sweet-home.co.il/,es-es,Conflicting hreflang and rel=canonical,05 Jan 2026 (19:13 UTC)
https://sweet-home.co.il/auth/forgot,es-es,Conflicting hreflang and rel=canonical,07 Jan 2026 (02:29 UTC)
https://sweet-home.co.il/auth/login,es-es,Conflicting hreflang and rel=canonical,07 Jan 2026 (02:50 UTC)
https://sweet-home.co.il/owners,es-es,Conflicting hreflang and rel=canonical,05 Jan 2026 (20:29 UTC)
https://sweet-home.co.il/privacy,es-es,Conflicting hreflang and rel=canonical,06 Jan 2026 (12:38 UTC)
https://sweet-home.co.il/projects/regions,es-es,Conflicting hreflang and rel=canonical,07 Jan 2026 (01:39 UTC)
https://sweet-home.co.il/terms,es-es,Conflicting hreflang and rel=canonical,07 Jan 2026 (01:39 UTC)
https://sweet-home.co.il/,x-default,Conflicting hreflang and rel=canonical,02 Jan 2026 (14:22 UTC)
https://sweet-home.co.il/auth/forgot,x-default,Conflicting hreflang and rel=canonical,07 Jan 2026 (02:29 UTC)
https://sweet-home.co.il/auth/login,x-default,Conflicting hreflang and rel=canonical,07 Jan 2026 (02:50 UTC)
https://sweet-home.co.il/owners,x-default,Conflicting hreflang and rel=canonical,05 Jan 2026 (20:29 UTC)
https://sweet-home.co.il/privacy,x-default,Conflicting hreflang and rel=canonical,06 Jan 2026 (12:38 UTC)
https://sweet-home.co.il/projects/regions,x-default,Conflicting hreflang and rel=canonical,07 Jan 2026 (01:39 UTC)
https://sweet-home.co.il/terms,x-default,Conflicting hreflang and rel=canonical,07 Jan 2026 (01:39 UTC)
