Page URL,Structured data,Field,Issue description,Discovered
https://sweet-home.co.il/auth/login,Carousel,itemListElement,A value for the itemListElement field is required.,05 Jan 2026 (19:13 UTC)
https://sweet-home.co.il/blog,Carousel,itemListElement,A value for the itemListElement field is required.,05 Jan 2026 (18:36 UTC)
https://sweet-home.co.il/blog?page=2,Carousel,itemListElement,A value for the itemListElement field is required.,05 Jan 2026 (19:13 UTC)
https://sweet-home.co.il/blog?page=3,Carousel,itemListElement,A value for the itemListElement field is required.,05 Jan 2026 (19:13 UTC)
https://sweet-home.co.il/contact,Carousel,itemListElement,A value for the itemListElement field is required.,05 Jan 2026 (19:13 UTC)
https://sweet-home.co.il/owners,Carousel,itemListElement,A value for the itemListElement field is required.,05 Jan 2026 (18:47 UTC)
https://sweet-home.co.il/privacy,Carousel,itemListElement,A value for the itemListElement field is required.,05 Jan 2026 (19:13 UTC)
https://sweet-home.co.il/projects,Carousel,itemListElement,A value for the itemListElement field is required.,05 Jan 2026 (18:36 UTC)
https://sweet-home.co.il/projects?country=UAE&city=Dubai,Carousel,itemListElement,A value for the itemListElement field is required.,05 Jan 2026 (19:13 UTC)
https://sweet-home.co.il/services,Carousel,itemListElement,A value for the itemListElement field is required.,05 Jan 2026 (18:47 UTC)
https://sweet-home.co.il/terms,Carousel,itemListElement,A value for the itemListElement field is required.,05 Jan 2026 (19:13 UTC)
